	-1
过去	5.2
长期	5.4
积累	5.74
的	5.1
经验	6.1
并非	4.58
最	5.14
重要	5.68
的	5.1
甚至	4.82
可能	5.2
会	5.22
妨碍	3.44
发现	5.9
新	5.94
机会	6.0
一个	5.1
创业者	-1
最	5.14
需要	5.18
具备	5.46
的	5.1
素质	5.8
是	5.42
快速	5.84
学习	5.86
的	5.1
能力	5.9
王兴	-1
就是	4.98
一位	-1
学习	5.86
能力	5.9
很强	-1
的	5.1
人	5.3
他	5.06
始终	5.26
以	4.92
一种	-1
开放	6.1
的	5.1
心态	5.38
充满	6.14
好奇	6.0
的	5.1
眼光	5.54
来	5.26
看待	5.3
这个	5.02
世界	5.78
探索	5.58
这个	5.02
世界	5.78
运行	5.5
的	5.1
本质	5.0
规律	5.3
他	5.06
的	5.1
独立思考	-1
能力	5.9
很强	-1
热爱	6.24
学习	5.86
也	5.2
善于	5.8
学习	5.86
这些	5.18
终于	5.52
造就	5.6
今天	5.52
的	5.1
王兴	-1
简短	5.42
总结	5.4
一下子	-1
王兴	-1
创业	5.92
十年	-1
的	5.1
经验	6.1
是	5.42
一	5.02
契约	5.06
精神	5.86
与	4.86
十年	-1
团队	5.26
从	5.16
校内	-1
饭否	-1
到	5.3
美团	-1
王兴	-1
早期	5.12
的	5.1
创业	5.92
伙伴	5.98
们	5.06
都	4.84
在	5.02
现在	5.14
都	4.84
是	5.42
美团	-1
网	5.24
的	5.1
骨干力量	-1
2014	-1
年	5.1
3	-1
月	5.28
1	-1
日晚	-1
我	5.58
和	5.46
王兴	-1
在	5.02
望京	-1
一家	5.56
咖啡馆	-1
聊	-1
了	5.08
四个	-1
小时	5.1
我	5.58
问	5.18
王兴	-1
你们	5.24
能	5.48
在	5.02
美团	-1
重聚	-1
的	5.1
原因	5.18
是	5.42
什么	5.04
王兴	-1
说	5.22
了	5.08
四个	-1
字	5.34
契约	5.06
精神	5.86
在	5.02
本书	-1
里	5.18
我	5.58
花费	4.46
很多	5.46
笔墨	-1
来	5.26
描写	5.36
王兴	-1
身边	5.44
人	5.3
是	5.42
怎么	4.86
做事	5.26
的	5.1
在	5.02
创业	5.92
过程	5.06
中	4.98
扮演	5.44
了	5.08
什么样	-1
的	5.1
角色	5.34
王兴	-1
创业	5.92
十年	-1
跟	5.06
这些	5.18
人	5.3
的	5.1
努力	6.26
密切相关	-1
也	5.2
是因为	-1
他们	5.12
的	5.1
努力	6.26
才	5.48
成就	6.38
了	5.08
今天	5.52
的	5.1
王兴	-1
现在	5.14
已经	5.18
不是	4.2
个人	5.32
英雄主义	-1
的	5.1
时代	5.44
了	5.08
一个	5.1
优秀	7.04
的	5.1
创业者	-1
背后	4.88
必然	5.22
有	5.36
一个	5.1
优秀	7.04
的	5.1
团队	5.26
支撑	5.48
着	4.88
他	5.06
反过来说	-1
团队	5.26
是	5.42
怎么样	-1
的	5.1
就	4.94
能	5.48
说明	5.3
ceo	5.1
是	5.42
怎么样	-1
的	5.1
判断	5.36
ceo	5.1
的	5.1
层次	5.32
要	5.2
看	5.58
他	5.06
身边	5.44
人	5.3
的	5.1
层次	5.32
如果	5.36
ceo	5.1
老弄	-1
一些	5.12
平庸	3.44
的	5.1
人才	6.26
围聚	-1
在	5.02
自己	5.28
身边	5.44
那	5.12
ceo	5.1
的	5.1
层次	5.32
也	5.2
上	5.58
不	4.4
去	4.86
只有	5.14
将	5.36
优秀	7.04
的	5.1
人才	6.26
聚集	5.32
在	5.02
自己	5.28
身边	5.44
ceo	5.1
的	5.1
层次	5.32
才能	6.1
上去	5.6
二	5.02
战略	5.4
方向	5.14
正确	6.54
2009	-1
年	5.1
年底	5.14
王兴	-1
准备	5.48
做美团	-1
网	5.24
他	5.06
在	5.02
公司	5.08
内部	4.9
阐述	5.22
了	5.08
四纵	-1
三横	-1
理论	5.14
在	5.02
这个	5.02
四纵	-1
三横	-1
理论	5.14
的	5.1
基础	5.38
上	5.58
他	5.06
继续	5.36
阐述	5.22
团购	-1
的	5.1
盈利模式	-1
互联网	5.88
营销	5.22
模式	5.1
第一阶段	-1
是	5.42
门户网站	-1
盈利模式	-1
是	5.42
展示	5.56
广告	4.92
目标	5.64
客户	5.42
是	5.42
能够	5.44
投放	4.96
昂贵	4.42
广告	4.92
的	5.1
大	5.7
企业	5.24
第二阶段	-1
是	5.42
搜索引擎	-1
服务	5.76
中小型	-1
企业	5.24
只要	5.16
你	5.36
有	5.36
几万块	-1
钱	6.24
就	4.94
能	5.48
买	5.34
关键词	-1
做广告	-1
一下子	-1
将	5.36
投放	4.96
门槛	-1
降低	4.24
了	5.08
很多	5.46
精准度	-1
也	5.2
高	6.1
了	5.08
很多	5.46
第三阶段	-1
就是	4.98
团购	-1
通过	5.84
交易	5.12
来	5.26
对	6.14
消费者	-1
进行	5.28
更	5.34
精准	-1
的	5.1
推广	5.72
服务	5.76
的	5.1
商家	-1
都	4.84
是	5.42
本地	5.3
的	5.1
小型企业	-1
这	5.14
构成	5.36
了	5.08
金字塔	-1
塔基	-1
是	5.42
团购	-1
服务	5.76
的	5.1
商家	-1
塔尖	-1
是	5.42
门户	5.24
服务	5.76
的	5.1
商家	-1
中间	5.04
是	5.42
搜索引擎	-1
服务	5.76
的	5.1
商家	-1
团购	-1
的	5.1
盈利模式	-1
就是	4.98
减少	4.44
商家	-1
的	5.1
广告	4.92
投入	5.8
把	4.94
这部分	-1
让利	-1
出来	5.18
让	5.36
消费者	-1
占	4.66
到	5.3
一部分	5.12
便宜	5.68
团购	-1
网站	5.1
也	5.2
可以	5.58
分享	6.14
到	5.3
一部分	5.12
利润	6.52
2012	-1
年	5.1
经过	5.06
两年	-1
的	5.1
摸索	5.02
王兴	-1
提出	5.04
团购	-1
三	5.18
高三	-1
低	4.5
的	5.1
理论	5.14
他	5.06
对	6.14
团购	-1
的	5.1
理解	6.22
更加	5.62
独立	5.92
甚至	4.82
跟	5.06
美团	-1
一	5.02
开始	5.26
的	5.1
老师	5.98
groupon	-1
背道而驰	-1
groupon	-1
是	5.42
高	6.1
毛利	-1
高	6.1
成本	4.82
运营	5.08
的	5.1
公司	5.08
而	5.18
美团定	-1
位于	4.96
为	5.16
消费者	-1
提供	5.48
高品质	-1
低	4.5
价格	5.18
的	5.1
服务	5.76
为此	-1
公司	5.08
做到	-1
高效率	-1
低成本	-1
高科技	-1
低	4.5
毛利	-1
王兴	-1
对	6.14
团购	-1
的	5.1
理解	6.22
正是	-1
美团网	-1
区别	5.06
于	5.14
其他	4.88
团购	-1
网站	5.1
的	5.1
根本原因	-1
这段话	-1
可以	5.58
说	5.22
是	5.42
一个	5.1
标尺	-1
用来	-1
衡量	5.1
公司	5.08
运营	5.08
中	4.98
遇到	-1
的	5.1
种种	4.88
问题	4.46
选择	5.22
合适	6.0
的	5.1
处理	4.82
方式	4.94
用于	-1
纠偏	-1
每	5.14
一次	5.12
纠偏	-1
的	5.1
细微差别	-1
最终	5.4
让	5.36
美团	-1
与	4.86
其他	4.88
竞争对手	-1
积累	5.74
起	4.98
天堑	-1
鸿沟	-1
的	5.1
差距	4.14
腾讯	-1
联合	5.46
创始人	-1
cto	-1
张志东	-1
就	4.94
认为	5.1
王兴	-1
对	6.14
团购	-1
本质	5.0
的	5.1
理解	6.22
超越	6.24
了	5.08
腾讯	-1
也	5.2
超越	6.24
了	5.08
groupon	-1
做	5.26
团购	-1
王兴	-1
一定	5.36
比马云	-1
和	5.46
马化腾	-1
强	6.46
在	5.02
这个	5.02
竞争	5.2
中	4.98
核心	5.58
团队	5.26
的	5.1
认识	5.36
是	5.42
决定性	5.48
的	5.1
执行力	-1
好	6.7
成本	4.82
节奏	5.54
秩序	5.44
做得好	-1
在	5.02
大家	5.56
都	4.84
烧钱	-1
时	5.04
美团	-1
做	5.26
了	5.08
最	5.14
经济	5.44
效率	5.64
持久	5.5
的	5.1
方式	4.94
一位	-1
优秀	7.04
的	5.1
ceo	5.1
与	4.86
平庸	3.44
的	5.1
ceo	5.1
之间	-1
最	5.14
本质	5.0
的	5.1
差别	4.58
在	5.02
哪里	4.92
我	5.58
觉得	5.38
是	5.42
战略眼光	-1
有无	-1
长远	5.66
的	5.1
战略眼光	-1
是	5.42
优秀	7.04
的	5.1
ceo	5.1
和	5.46
平庸	3.44
的	5.1
ceo	5.1
最	5.14
本质	5.0
的	5.1
差别	4.58
三	5.18
保有	-1
健康	7.4
的	5.1
现金流	-1
王兴	-1
在	5.02
创办	5.8
校内	-1
网	5.24
的	5.1
时候	5.0
遇到	-1
过	5.04
资金	5.68
链断裂	-1
的	5.1
问题	4.46
被迫	-1
出售	5.12
公司	5.08
在	5.02
饭否	-1
网	5.24
时期	5.28
也	5.2
曾经	4.9
短暂	4.66
遇到	-1
过	5.04
资金	5.68
问题	4.46
缺钱	-1
之痛	-1
让	5.36
他	5.06
刻骨铭心	-1
导致	4.64
他	5.06
在	5.02
做	5.26
美团	-1
网	5.24
的	5.1
时候	5.0
吸取	5.1
了	5.08
教训	3.9
2011	-1
年	5.1
7	-1
月	5.28
美团	-1
完成	5.98
阿里巴巴	-1
领投	-1
的	5.1
5000	-1
万美元	-1
b轮	-1
融资	5.7
之后	4.98
首轮	-1
融资	5.7
1000	-1
万美元	-1
还	5.16
躺	5.12
在	5.02
账户	5.22
上	5.58
王兴	-1
甚至	4.82
在	5.02
新闻	5.2
发布会	-1
上	5.58
公布	5.44
银行	5.58
账户	5.22
向	5.2
公众	5.28
证明	5.04
他们	5.12
的	5.1
融资	5.7
额度	4.96
是	5.42
真实	6.54
的	5.1
当时	5.0
美团	-1
也	5.2
有	5.36
预判	-1
认为	5.1
团购	-1
马上会	-1
遇到	-1
资本	5.0
市场	4.92
的	5.1
寒冬	-1
2011	-1
年	5.1
下半年	-1
寒冬	-1
果然	5.34
降临	-1
依靠	5.62
资本	5.0
力量	5.84
催肥	-1
的	5.1
团购	-1
网站	5.1
立刻	5.08
暴露	4.06
了	5.08
虚胖	-1
的	5.1
底子	-1
开始	5.26
大规模	-1
裁员	-1
拖欠	3.5
商家	-1
账款	-1
这个	5.02
时候	5.0
美团	-1
发起	5.22
冬季	5.28
攻势	4.72
地	5.16
推	5.0
员工	5.12
加班加点	-1
拜访	-1
商家	-1
上	5.58
单子	-1
一进	-1
一退	-1
美团	-1
跃居	-1
行业	5.02
第一	-1
四	4.98
利用	4.28
技术	5.08
提升	6.0
效率	5.64
降低成本	-1
这	5.14
几年	-1
的	5.1
团购	-1
竞争	5.2
可以	5.58
分为	-1
三个	-1
阶段	4.78
第一阶段	-1
依靠	5.62
资本	5.0
进行	5.28
扩张	5.48
谁	5.1
的	5.1
钱	6.24
多	5.66
谁	5.1
能	5.48
快速	5.84
铺设	-1
线下	-1
团队	5.26
就	4.94
能够	5.44
拿到	-1
更	5.34
多	5.66
的	5.1
市场份额	-1
第二阶段	-1
依靠	5.62
商家	-1
进行	5.28
扩张	5.48
谁	5.1
能够	5.44
拿到	-1
更	5.34
多	5.66
的	5.1
优质	7.16
商家	-1
能够	5.44
为	5.16
消费者	-1
提供	5.48
更	5.34
多	5.66
的	5.1
选择	5.22
就	4.94
能够	5.44
拿到	-1
更	5.34
多	5.66
的	5.1
市场份额	-1
第三阶段	-1
比拼	-1
产品	5.3
创新	6.88
以及	5.04
技术水平	-1
团购	-1
网站	5.1
提供	5.48
的	5.1
商家	-1
同质化	-1
很	5.14
严重	3.36
如果	5.36
产品	5.3
用户	5.2
体验	5.18
更好	-1
后台	-1
验证	5.28
退款	-1
和	5.46
结款	-1
速度	5.52
更	5.34
快	5.98
就	4.94
会	5.22
吸引	5.88
更	5.34
多	5.66
的	5.1
消费者	-1
和	5.46
商家	-1
聚集	5.32
在	5.02
这家	-1
网站	5.1
这里	4.88
又	4.98
要	5.2
谈到	-1
王兴	-1
的	5.1
三	5.18
高三	-1
低	4.5
理论	5.14
利用	4.28
技术	5.08
提高效率	-1
降低	4.24
运营	5.08
成本	4.82
将	5.36
美团	-1
做成	-1
高科技	-1
含量	5.12
的	5.1
公司	5.08
将	5.36
it	5.02
系统	5.02
尽量	5.22
运用	5.14
于	5.14
公司	5.08
的	5.1
各个部门	-1
环节	4.98
岗位	5.08
在	5.02
团购	-1
这个	5.02
看起来	-1
是	5.42
苦力	-1
活	5.56
需要	5.18
很多	5.46
线下	-1
员工	5.12
靠	4.78
两条腿	-1
跑	5.18
商家	-1
的	5.1
行业	5.02
科技	5.78
的	5.1
价值	5.86
短期内	-1
体现	5.02
不	4.4
出来	5.18
但	4.62
长期	5.4
来看	-1
很多	5.46
人	5.3
低估	4.42
了	5.08
这个	5.02
行业	5.02
里	5.18
科技	5.78
的	5.1
价值	5.86
2014	-1
年	5.1
3	-1
月	5.28
我	5.58
拜访	-1
一家	5.56
创业	5.92
公司	5.08
的	5.1
联合	5.46
创始人	-1
最近	5.38
三年	-1
我	5.58
基本上	-1
每年	5.44
和	5.46
他	5.06
见	5.24
一面	4.98
第一次	-1
见	5.24
他	5.06
时	5.04
他	5.06
看起来	-1
还	5.16
很	5.14
稚嫩	-1
很	5.14
兴奋	6.78
脸上	-1
洋溢着	-1
对	6.14
未来	6.28
的	5.1
美好	7.22
憧憬	6.93
第二次	-1
见	5.24
他	5.06
时	5.04
他	5.06
胡子拉碴	-1
像	5.5
没	4.42
睡醒	-1
的	5.1
样子	4.96
当时	5.0
他	5.06
和	5.46
技术	5.08
团队	5.26
正在	4.96
进行	5.28
一个月	-1
的	5.1
技术	5.08
攻坚	-1
今年	5.26
见	5.24
他	5.06
时	5.04
他	5.06
满脸	-1
困惑	3.74
听说	-1
我	5.58
正在	4.96
写	5.0
王兴	-1
创业	5.92
十年	-1
的	5.1
书	5.5
他	5.06
说	5.22
我	5.58
希望	6.64
能	5.48
早点儿	-1
看到	-1
这	5.14
本书	-1
创业	5.92
前	5.24
两三年	-1
就是	4.98
反复	4.48
在	5.02
折腾	-1
方向	5.14
往往	5.32
朝	5.12
一个	5.1
方向	5.14
挖个	-1
半年	4.84
没	4.42
挖	4.74
到	5.3
金子	-1
得	5.44
赶紧	5.18
再换个	-1
方向	5.14
继续	5.36
尝试	5.76
我	5.58
非常	5.76
希望	6.64
看到	-1
王兴	-1
在	5.02
创业	5.92
的	5.1
十年	-1
里	5.18
遇到	-1
过	5.04
哪些	4.96
失败	2.8
我	5.58
想	5.3
从中	4.88
汲取	5.2
一些	5.12
教训	3.9
少走弯路	-1
如果	5.36
正在	4.96
创业	5.92
的	5.1
人	5.3
有志	-1
创业	5.92
的	5.1
人	5.3
能够	5.44
在	5.02
本书	-1
里	5.18
获得	6.0
一些	5.12
经验教训	-1
少	4.3
走	5.3
一些	5.12
弯路	-1
我会	-1
有	5.36
一种	-1
成就感	-1
第一章	-1
在	5.02
创业	5.92
的	5.1
黄金时代	-1
里	5.18
过去	5.2
的	5.1
长期	5.4
经验	6.1
不是	4.2
最	5.14
重要	5.68
的	5.1
快速	5.84
学习	5.86
能力	5.9
是	5.42
决定	5.32
一个	5.1
人	5.3
发展	6.16
现状	5.24
以及	5.04
未来	6.28
前景	6.18
的	5.1
重要	5.68
因素	5.36
尊重	6.66
契约	5.06
精神	5.86
尊重	6.66
大家	5.56
共同	5.64
定好	-1
的	5.1
游戏规则	-1
没有	4.42
这个	5.02
创业	5.92
就	4.94
无从谈起	-1
ceo	5.1
不可	4.28
被	4.5
人	5.3
代劳	-1
的	5.1
职责	5.28
是	5.42
设计	5.76
公司	5.08
整体	5.3
愿景	-1
和	5.46
所有	5.52
战略	5.4
确保	5.72
传达	5.24
给	5.34
所有	5.52
利益	5.68
相关	5.22
方	4.96
不仅	5.34
是	5.42
管理层	-1
包括	5.18
所有	5.52
员工	5.12
不仅	5.34
是	5.42
公司	5.08
内部	4.9
人	5.3
包括	5.18
股东	5.28
消费者	-1
商户	-1
和	5.46
合作伙伴	-1
招到	-1
并	5.04
留住	-1
最	5.14
优秀	7.04
的	5.1
人	5.3
确保	5.72
公司	5.08
始终	5.26
要	5.2
有	5.36
足够	6.08
的	5.1
资金	5.68
以身作则	-1
不是	4.2
塑造	5.42
公司	5.08
价值观	5.76
的	5.1
最好	6.08
办法	5.44
而是	-1
唯一	-1
办法	5.44
2014	-1
年	5.1
2	-1
月	5.28
22	-1
日	4.88
北京大学	-1
百年纪念	-1
讲堂	-1
美团	-1
网年	-1
会	5.22
持续	5.4
四个	-1
多	5.66
小时	5.1
之后	4.98
气氛	5.52
越来越	-1
高涨	6.08
迎来	-1
了	5.08
这场	-1
年会	-1
的	5.1
高潮	6.28
灯光	5.7
聚焦	-1
在	5.02
美团网	-1
创始人	-1
兼	5.0
ceo	5.1
王兴	-1
身上	5.08
本是	-1
黑暗	3.18
一片	5.34
的	5.1
观众席	-1
上	5.58
嵌	-1
着	4.88
宿迁	-1
锦州	-1
襄阳	-1
等	4.72
城市	5.5
名字	5.3
的	5.1
灯牌	-1
此起彼伏	-1
蓝色	-1
的	5.1
灯光	5.7
映着	-1
一张	-1
张	5.14
兴奋	6.78
的	5.1
年轻	6.48
面庞	-1
兴哥	-1
兴哥	-1
的	5.1
欢呼声	-1
如	5.06
浪潮	5.16
般	5.12
拍来	-1
王兴	-1
依旧	5.06
是	5.42
标志性	-1
的	5.1
光头	-1
穿着	5.42
黑色	4.7
圆领	-1
卫衣	-1
露着	-1
一小	-1
截	-1
格子	-1
衬衫	-1
的	5.1
领子	-1
他	5.06
说	5.22
同样	5.12
我们	5.96
要	5.2
感谢	6.88
在场	5.28
的	5.1
不	4.4
在场	5.28
的	5.1
所有	5.52
同事	5.5
也	5.2
要	5.2
感谢	6.88
过去	5.2
在	5.02
美团网	-1
现在	5.14
不	4.4
在	5.02
美团	-1
网	5.24
的	5.1
同事	5.5
他们	5.12
当中	4.96
有	5.36
的	5.1
人	5.3
的	5.1
离去	-1
非常	5.76
令人遗憾	-1
我	5.58
认为	5.1
他们	5.12
很多	5.46
人	5.3
可能	5.2
做	5.26
了	5.08
错误	3.46
的	5.1
选择	5.22
但	4.62
我们	5.96
依然	5.26
尊重	6.66
他们	5.12
的	5.1
选择	5.22
只要	5.16
他们	5.12
做	5.26
的	5.1
事情	5.08
一样	5.28
是	5.42
在	5.02
联结	5.16
人	5.3
和	5.46
商户	-1
在	5.02
用	5.1
互联网	5.88
改变	5.48
世界	5.78
让	5.36
生活	5.58
更	5.34
美好	7.22
我们	5.96
就	4.94
尊重	6.66
他们	5.12
但是	4.56
我们	5.96
相信	6.12
我们	5.96
这些	5.18
人	5.3
在	5.02
一起	5.74
会	5.22
打败	5.02
所有	5.52
竞争对手	-1
包括	5.18
我们	5.96
的	5.1
前	5.24
同事	5.5
在	5.02
我们	5.96
选择	5.22
的	5.1
道路	4.96
上	5.58
成为	5.42
第一名	-1
他	5.06
戴	5.34
着	4.88
耳麦	-1
手	5.5
插	4.92
在	5.02
裤兜	-1
里	5.18
在	5.02
台上	-1
悠闲	-1
踱步	-1
表情	5.44
平和	6.42
言语	5.12
坚定	6.04
我	5.58
跟着	5.22
两千多名	-1
美团网	-1
员工	5.12
坐在	-1
台下	-1
被	4.5
气氛	5.52
感染	3.88
心潮澎湃	-1
我	5.58
第一次	-1
跟	5.06
王兴	-1
打交道	-1
是	5.42
在	5.02
2011	-1
年	5.1
年初	5.16
美团网	-1
成立	5.42
不到	3.88
一年	-1
为了	5.14
采访	5.26
王兴	-1
我	5.58
在	5.02
北京	5.68
中关村	-1
五道口	-1
赛	5.16
百味	-1
连锁店	-1
等	4.72
他	5.06
晚上	5.02
9	-1
点	5.32
王	5.5
兴匆匆	-1
赶来	-1
落座	-1
之后	4.98
急忙	4.84
点	5.32
了	5.08
一份	-1
三明治	-1
三口	-1
并	5.04
两口	-1
地	5.16
吃掉	-1
中间	5.04
他接	-1
了	5.08
8	-1
个	4.94
电话	5.38
时隔	-1
3	-1
年	5.1
这位	-1
35	-1
岁	5.44
已有	-1
10	-1
年	5.1
创业	5.92
经历	5.3
的	5.1
企业家	-1
的	5.1
气场	-1
更强	-1
了	5.08
锐意	-1
勃发	-1
仿佛	5.24
世界	5.78
尽	4.92
在	5.02
胸中	-1
有句	-1
老话	-1
钱	6.24
是	5.42
人	5.3
的	5.1
胆	-1
相似	5.38
地	5.16
在	5.02
创业	5.92
路上	5.34
每	5.14
一个	5.1
决策	5.42
的	5.1
成功	7.48
都	4.84
会	5.22
增加	5.94
创业者	-1
的	5.1
自信	6.74
气场	-1
来自	-1
过往	-1
的	5.1
证明	5.04
以及	5.04
对	6.14
未来	6.28
的	5.1
把	4.94
控	4.58
王兴	-1
的	5.1
创业	5.92
经历	5.3
起于	-1
2003	-1
年	5.1
的	5.1
一封	-1
邮件	5.46
这封	-1
邮件	5.46
让	5.36
他	5.06
中止	4.42
了	5.08
美国	5.6
读博之路	-1
回国	5.52
与	4.86
大学	6.2
同学	5.74
高中同学	-1
在	5.02
他	5.06
的	5.1
母校	-1
清华大学	-1
附近	5.38
的	5.1
居民小区	-1
开始	5.26
了	5.08
创业	5.92
之	5.26
路	5.2
让	5.36
王兴	-1
成名	-1
的	5.1
第一个	-1
创业项目	-1
是	5.42
校内	-1
网	5.24
一个	5.1
类似	5.0
